space,train_dataset,train_split,eval_dataset,eval_split,train_n_centroids,eval_n_centroids,train_total_weight,eval_total_weight,distance_metric,flow_normalized,train_kmeans_k,eval_kmeans_k,self_radius_k,radius_quantile,radius_train,radius_eval,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,p95_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,p95_nn_train_to_eval,weighted_distances,weighted_radius,radius_neighbor_agg,flow_image_h,flow_image_w
flow,synthetic_small_zoom,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,3.530830144882202e-05,1.3008839327772152e-05,2.5232438929378986e-06,5.284138751449063e-06,6.438931450247765e-06,0.0016608503573195123,1.3755634427070618e-06,0.001059405505657196,0.0028077494353055954,True,True,kth,512,512
flow,synthetic_small_zoom,train,spair,test,8192,8192,16000000,88328,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.0030008554458618164,0.041126679648626756,0.0031691789627075195,0.10756039619445801,0.21689432859420776,3.462426829626383e-05,2.4624168872833252e-05,6.0075195506215096e-05,7.121125236153603e-05,True,True,kth,512,512
flow,synthetic_small_zoom,train,pfpascal,test,8192,2414,16000000,2414,sqL2,True,8192,2414,1,0.95,1.52587890625e-05,0.0010426044464111328,0.005718082882826983,0.00010425597429275513,0.010953769087791443,0.02892056107521057,0.00045729689920279495,2.3811415303498507e-05,8.396059274673462e-05,0.00011019594967365265,True,True,kth,512,512
flow,synthetic_small_zoom,train,pfwillow,test,8192,8192,16000000,9000,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.00035321712493896484,0.004835468214889059,0.00017317011952400208,0.010743856430053711,0.026616021990776062,0.00031262298849191015,5.616107955574989e-06,2.0860694348812103e-05,2.919510006904602e-05,True,True,kth,512,512
flow,synthetic_small_zoom,train,pointodyssey,test,8192,8192,16000000,16000000,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.00010276399552822113,6.731364322751687e-05,3.2186508178710938e-06,8.51616459840443e-06,1.1375173926353455e-05,0.0006102294116876103,1.2544915080070496e-06,1.8522143363952637e-05,3.250502049922943e-05,True,True,kth,512,512
flow,synthetic_small_zoom,train,tss,val,8192,8192,16000000,819200,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,0.0013315677642822266,0.0033455799918195262,1.7561018466949463e-05,0.005375266075134277,0.016071557998657227,0.00035543394713951227,3.335997462272644e-06,8.065253496170044e-06,1.0542571544647217e-05,True,True,kth,512,512
flow,synthetic_small_zoom,train,middlebury,val,8192,8192,16000000,98304,sqL2,True,8192,8192,1,0.95,1.52587890625e-05,1.4901161193847656e-08,0.0001844587194537913,1.5664845705032349e-06,3.006681799888611e-05,0.00025735795497894287,0.008410992246128192,0.0029907170683145523,0.016023388132452965,0.022498270496726036,True,True,kth,512,512
flow,synthetic_large_zoom,train,flyingthings,test,8192,8192,16000000,14319616,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.0006467252969741821,0.0006480792791093284,3.134016878902912e-06,1.753866672515869e-05,4.875659942626953e-05,0.00010142311168946327,4.026107490062714e-06,0.00010113418102264404,0.00022667646408081055,True,True,kth,512,512
flow,synthetic_large_zoom,train,kitti2015,val,8192,8192,16000000,408402,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,0.00010410696268081665,5.391599416857121e-06,3.0861192499287426e-06,1.1824071407318115e-05,1.6041100025177002e-05,0.003912966668116638,8.367002010345459e-06,0.003687813878059387,0.014735139906406403,True,True,kth,512,512
flow,synthetic_large_zoom,train,kitti2012,val,8192,8192,16000000,397312,sqL2,True,8192,8192,1,0.95,0.00029978156089782715,3.530830144882202e-05,3.3091853239818414e-06,2.701766788959503e-06,6.01448118686676e-06,8.133240044116974e-06,0.00701915497983213,2.7115456759929657e-05,0.014197200536727905,0.0366269126534462,True,True,kth,512,512
