space,train_dataset,train_split,eval_dataset,eval_split,epsilon_px,epsilon_norm,epsilon_sq,eval_covered_by_train_weighted,train_covered_by_eval_weighted,train_kmeans_k,eval_kmeans_k
flow,imagenet2dwarp,train,kitti2012,val,32.0,0.125,0.015625,1.0,0.67398359375,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,48.0,0.1875,0.03515625,1.0,0.7871294921875,8192,8192
flow,imagenet2dwarp,train,kitti2012,val,64.0,0.25,0.0625,1.0,0.86465322265625,8192,8192
flow,imagenet2dwarp,train,spair,test,0.5,0.001953125,3.814697265625e-06,0.059233765057512905,0.05911455078125,8192,8192
flow,imagenet2dwarp,train,spair,test,0.75,0.0029296875,8.58306884765625e-06,0.12273571234489629,0.12246015625,8192,8192
flow,imagenet2dwarp,train,spair,test,1.0,0.00390625,1.52587890625e-05,0.2149827914138212,0.21666201171875,8192,8192
flow,imagenet2dwarp,train,spair,test,1.5,0.005859375,3.4332275390625e-05,0.3749320713703469,0.4705935546875,8192,8192
flow,imagenet2dwarp,train,spair,test,2.0,0.0078125,6.103515625e-05,0.45933339371433746,0.72328232421875,8192,8192
flow,imagenet2dwarp,train,spair,test,3.0,0.01171875,0.0001373291015625,0.5419119644959696,0.95556953125,8192,8192
flow,imagenet2dwarp,train,spair,test,4.0,0.015625,0.000244140625,0.5890317905986776,0.993446875,8192,8192
flow,imagenet2dwarp,train,spair,test,6.0,0.0234375,0.00054931640625,0.642706729462911,0.9999318359375,8192,8192
flow,imagenet2dwarp,train,spair,test,8.0,0.03125,0.0009765625,0.6772710805180691,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,12.0,0.046875,0.002197265625,0.7140204691604022,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,16.0,0.0625,0.00390625,0.7330291640249977,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,24.0,0.09375,0.0087890625,0.7592949008242007,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,32.0,0.125,0.015625,0.7819604202517888,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,48.0,0.1875,0.03515625,0.8218005615433385,1.0,8192,8192
flow,imagenet2dwarp,train,spair,test,64.0,0.25,0.0625,0.8541119463816683,1.0,8192,8192
flow,imagenet2dwarp,train,pfpascal,test,0.5,0.001953125,3.814697265625e-06,0.13545981772990887,0.03851767578125,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,0.75,0.0029296875,8.58306884765625e-06,0.3260149130074565,0.08947626953125,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,1.0,0.00390625,1.52587890625e-05,0.5443247721623861,0.1470087890625,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,1.5,0.005859375,3.4332275390625e-05,0.8019884009942005,0.27707890625,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,2.0,0.0078125,6.103515625e-05,0.8889809444904723,0.41121884765625,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,3.0,0.01171875,0.0001373291015625,0.9411764705882353,0.6258951171875,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,4.0,0.015625,0.000244140625,0.9623032311516155,0.746898046875,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,6.0,0.0234375,0.00054931640625,0.9747307373653686,0.87969365234375,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,8.0,0.03125,0.0009765625,0.9784589892294946,0.9356591796875,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,12.0,0.046875,0.002197265625,0.9842584921292461,0.977326171875,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,16.0,0.0625,0.00390625,0.9892294946147473,0.99019677734375,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,24.0,0.09375,0.0087890625,0.9925434962717481,0.99751904296875,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,32.0,0.125,0.015625,0.9950289975144988,0.99922890625,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,48.0,0.1875,0.03515625,0.9971002485501242,0.99994990234375,8192,2414
flow,imagenet2dwarp,train,pfpascal,test,64.0,0.25,0.0625,0.9975144987572494,1.0,8192,2414
flow,imagenet2dwarp,train,pfwillow,test,0.5,0.001953125,3.814697265625e-06,0.12566666666666668,0.11063779296875,8192,8192
