train_dataset,train_split,eval_dataset,eval_split,eval_to_train_auc_weighted,train_to_eval_auc_weighted,eval_to_train_eps_at90_weighted,train_to_eval_eps_at90_weighted,eval_to_train_eps_at95_weighted,train_to_eval_eps_at95_weighted
synthetic_large_zoom,train,pfpascal,test,61.68832850041425,62.05105396093751,4.302912621359224,3.411426254622642,7.305882352941168,4.603704813941762
synthetic_large_zoom,train,pfwillow,test,60.87829166666667,62.8752290078125,5.891358024691361,1.90063091137718,13.081081081081045,2.628034983589532
synthetic_large_zoom,train,pointodyssey,test,63.383417375,61.661420421875,0.7465847189315427,5.7050327368187155,0.9113800407074008,9.506517790046088
synthetic_large_zoom,train,spair,test,49.03851836337289,62.5756017109375,50.33716599190284,2.339717497514381,,2.707786922769372
synthetic_large_zoom,train,tss,val,60.305193481445315,62.991348273437495,5.381104267487907,1.6447700301945094,23.487499999999955,2.5353957895311683
synthetic_random_flipping,train,flyingthings,test,62.95881443329206,49.163690359375,1.4797688855846816,51.138789727442706,1.9160031831093736,
synthetic_random_flipping,train,kitti2012,val,63.18183096659552,26.7524820546875,1.299602362705321,,1.4144178196992292,
synthetic_random_flipping,train,kitti2015,val,63.09250260772474,30.334280132812502,1.4109652897914662,,1.4979755929199015,
synthetic_random_flipping,train,middlebury,val,63.066518147786454,11.1144246875,1.4283947177801304,,1.4968629854571793,
synthetic_random_flipping,train,pfpascal,test,62.43340927920464,44.88769346875,2.7666666666666675,,3.4976470588235284,
synthetic_random_flipping,train,pfwillow,test,62.48890277777778,52.327186624999996,2.748175182481752,58.00558492984508,3.2900552486187826,
synthetic_random_flipping,train,pointodyssey,test,63.099927609375,40.040239078125,1.3786309471460378,,1.455608248656698,
synthetic_random_flipping,train,spair,test,60.586674101077804,61.0037331796875,6.795782567947515,5.960530388856092,10.313310366426554,9.527707430141215
synthetic_random_flipping,train,tss,val,62.668213348388676,57.265056679687504,2.443067380345105,15.188190440683691,2.9335416891187984,35.82855035988519
synthetic_small_zoom,train,flyingthings,test,61.98424529156368,63.372774984375,3.2932075537589816,0.7508047582591256,8.379973762456213,0.9746596286695409
synthetic_small_zoom,train,kitti2012,val,63.414943419780926,61.3028800078125,0.6696628887625722,8.288128872893884,0.7272757328631254,13.796672231153366
synthetic_small_zoom,train,kitti2015,val,63.12879252550184,62.664685679687494,0.9466696747024195,2.368603775101209,2.3977641385357265,5.171263949771252
synthetic_small_zoom,train,middlebury,val,62.702036539713546,47.1943396953125,1.4144800000000002,32.60613102532897,4.095575221238927,41.65269396749739
synthetic_small_zoom,train,pfpascal,test,55.21582435791217,62.5490689140625,26.894117647058817,2.4980930872448157,44.245544554455456,2.8378926649588903
synthetic_small_zoom,train,pfwillow,test,54.85530555555555,63.183782125,26.731707317073173,1.279473878146479,42.97947214076247,1.4465842227781427
synthetic_small_zoom,train,pointodyssey,test,63.2160463984375,63.22864107812501,0.7425608960962969,1.1363356589479092,0.9321524692599652,1.478757436972991
synthetic_small_zoom,train,spair,test,40.34958478625124,62.670923359375,,1.9890197650226717,,2.4780187470967774
