dataset1,split1,dataset2,split2,representation,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist,kl_eval_to_train_hist_log1p_linear,kl_train_to_eval_hist_log1p_linear,kl_eval_to_train_hist_radius,kl_train_to_eval_hist_radius,kl_eval_to_train_hist_median,kl_train_to_eval_hist_median,kl_eval_to_train_hist_rank,kl_train_to_eval_hist_rank
spair_2d_warp_30_70,train,pfpascal,test,dino,5,median,5,0.99,0.3282946944236753,0.31635703325271686,0.4862510279605263,0.582763671875,0.417236328125,0.4862510279605263,0.582763671875,0.32775431871414185,0.33178016543388367,0.4525147259235382,0.29244789481163025,0.2936372756958008,0.4132109820842743,knn,20,50,1e-06,51.638239835899554,48.45728500347135,20480,77824,0.0786863390848184,0.06976833694790248,0.0889996472447856,0.07306190192611,0.03494775480253583,0.03402369190089036,0.011245145726120951,0.01182858627594267,0.07867728400582172,0.06975902426060712
spair_2d_warp_30_70,train,pfwillow,test,dino,5,median,5,0.99,0.3282946944236753,0.21206200122833252,0.62702,0.17958984375,0.82041015625,0.62702,0.17958984375,0.2881680130958557,0.2903151512145996,0.42530179023742676,0.32892531156539917,0.32800865173339844,0.489382153749466,knn,20,50,1e-06,144.00162861423323,52.391458691696414,20480,100000,0.08235839506256293,0.1011953808572158,0.09384919075632506,0.21461850388182083,0.8840712985840734,4.172800288485659,0.011518933726515947,0.01094526822616421,0.08235066995425738,0.10119169528314938
spair_2d_warp_30_70,train,pointodyssey,test,dino,5,median,5,0.99,0.3282946944236753,0.11684389948844862,0.22442,0.00263671875,0.99736328125,0.22442,0.00263671875,0.40590739250183105,0.41825875639915466,0.5329364538192749,0.45617541670799255,0.4645610451698303,0.6064124166965486,knn,20,50,1e-06,1589.3926886142335,88.66495722685268,20480,100000,0.1479119430858179,0.2473263710386616,0.14621496382827895,0.3162282563115549,4.141886259379553,19.88005780477572,0.019510414213968798,0.021432378214565156,0.1477868303715471,0.2472069139058976
spair_2d_warp_30_70,train,flyingthings,test,dino,5,median,5,0.99,0.3282946944236753,0.28478713095188146,0.12069847470238096,0.104638671875,0.895361328125,0.12069847470238096,0.104638671875,0.45035871863365173,0.4649588465690613,0.5673539161682128,0.4170822501182556,0.42538315057754517,0.5410077631473541,knn,20,50,1e-06,102.44544639810046,87.06016854709338,20480,43008,0.07233868145486241,0.07286253100794396,0.07435937072595143,0.0729885935971114,0.09557430797474845,0.14392131755509335,0.031117627941861573,0.03716962339533034,0.07239493876277711,0.07290836156912052
spair_2d_warp_30_70,train,tss,val,dino,5,median,5,0.99,0.3282946944236753,0.2353616976737975,0.52588,0.242529296875,0.757470703125,0.52588,0.242529296875,0.31965476274490356,0.3214731812477112,0.44559715390205384,0.3340703845024109,0.33120617270469666,0.5014609098434448,knn,20,50,1e-06,113.44994861423322,56.19283808622767,20480,100000,0.07306499712865264,0.09059392049333466,0.07214391038710162,0.09927667738996282,0.5275413378656145,1.7515429965374312,0.055761702736700405,0.06414434327417175,0.07304224746261506,0.09057318179919199
spair_2d_warp_30_70,train,middlebury,val,dino,5,median,5,0.99,0.3282946944236753,0.2801782995462417,0.2574869791666667,0.118212890625,0.881787109375,0.2574869791666667,0.118212890625,0.37902936339378357,0.3868527412414551,0.4806800901889801,0.3966430425643921,0.40006017684936523,0.517383998632431,knn,20,50,1e-06,52.83956097864004,84.7187520141449,20480,12288,0.04610762200442396,0.06354617772184847,0.05026563594826122,0.08167808180809236,0.39257447645954957,0.7836246182428377,0.020212091835760296,0.02441239257830547,0.04610818437696737,0.06353589757162814
synthetic,train,kitti2015,val,dino,5,median,5,0.99,0.30590851306915273,0.2412361127138137,0.16639122596153846,0.04702,0.95298,0.16639122596153846,0.04702,0.4734143614768982,0.4968535602092743,0.6541161000728607,0.5125479102134705,0.5400753021240234,0.6858335137367249,knn,20,50,1e-06,149.07016073723975,128.14399005926066,100000,53248,0.05283748214429494,0.06211449569786946,0.05410414127493082,0.09151948582346142,0.6123101144940842,3.8707181778348114,0.02747532572628384,0.02444742002287389,0.05283748214429494,0.06211449569786946
synthetic,train,kitti2012,val,dino,5,median,5,0.99,0.30590851306915273,0.2504759114980698,0.17326171875,0.06327,0.93673,0.17326171875,0.06327,0.46982112526893616,0.4949078857898712,0.6514270722866058,0.5061829090118408,0.5345319509506226,0.6829059243202209,knn,20,50,1e-06,132.16909862288338,126.17592934610738,100000,51200,0.04592013902743109,0.05550496345390274,0.04699669787720026,0.06430948139012667,0.5014134889528993,3.3898305768831896,0.022242985508296287,0.019818195458373634,0.04592118974996142,0.05550583599492616
synthetic,train,spair,test,dino,5,median,5,0.99,0.30590851306915273,0.21129608154296875,0.24462,0.06097,0.93903,0.24462,0.06097,0.4266089200973511,0.44375181198120117,0.6168705224990845,0.4487845301628113,0.461568683385849,0.6357958793640137,knn,20,50,1e-06,162.67147000005002,108.98560000005,100000,100000,0.030645455737069567,0.02862113116843941,0.03328506434119129,0.06308648910615053,0.7018374301139465,6.5761318342658885,0.019351955192061003,0.016853529002298303,0.030656624467449003,0.028629924549193955
synthetic,train,pfpascal,test,dino,5,median,5,0.99,0.30590851306915273,0.31635703325271686,0.18588096217105263,0.20644,0.79356,0.18588096217105263,0.20644,0.4613523483276367,0.4961094856262207,0.6290891170501709,0.4380214810371399,0.4609105587005615,0.5911274254322052,knn,20,50,1e-06,82.61861454202884,112.22598968096557,100000,77824,0.07831046553368226,0.06817331545063325,0.07989848565512575,0.08153156489742534,0.1548024694341627,0.12311247110467463,0.02406591040278183,0.024793587024179123,0.0783120723272184,0.06817548627469654
