dataset1,split1,dataset2,split2,representation,support_mode,normalization_mode,k,neighbor_agg,self_radius_k,radius_quantile,radius_train,radius_eval,recall,precision,outside,train_to_eval_coverage,eval_to_train_coverage,mean_nn_eval_to_train,median_nn_eval_to_train,p90_nn_eval_to_train,mean_nn_train_to_eval,median_nn_train_to_eval,p90_nn_train_to_eval,kl_method,kl_knn_k,kl_bins,kl_eps,kl_eval_to_train,kl_train_to_eval,n_train_vectors,n_eval_vectors,kl_eval_to_train_hist,kl_train_to_eval_hist
synthetic_2d_warp,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.3109442412853241,0.4347059031085706,0.9171849375,0.08281506250000004,0.4347059031085706,0.9171849375,0.10958747565746307,0.05890714377164841,0.2351184576749803,0.1879584640264511,0.17229661345481873,0.2968681752681732,knn,20,50,1e-06,1.252537962066067,1.0825587612931358,16000000,56682,1.7654308673593648,1.132721283472123
synthetic_2d_warp,train,pfpascal,test,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.5469322681427001,0.8131731565865783,0.864536875,0.13546312500000002,0.8131731565865783,0.864536875,0.04003673791885376,0.035909153521060944,0.061583504080772455,0.37347865104675293,0.30562543869018555,0.6180707216262817,knn,20,50,1e-06,0.1711478857679225,0.42212718395342286,16000000,2414,3.833917996990137,14.36683163947294
synthetic_2d_warp,train,pfwillow,test,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.34651321172714233,0.7777777777777778,0.6627854375,0.33721456250000004,0.7777777777777778,0.6627854375,0.04402053728699684,0.0358547568321228,0.07057907059788704,0.3380334973335266,0.26692843437194824,0.613473653793335,knn,20,50,1e-06,0.8421637008923284,0.6586521386143023,16000000,9000,3.5322031840365202,6.907670483462022
synthetic_2d_warp,train,pointodyssey,test,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.01816119197756049,0.991516904398176,0.0329485,0.9670515,0.991516904398176,0.0329485,0.024326102808117867,0.023138785734772682,0.03651213385164737,0.22601275146007538,0.13268263638019562,0.492019635438919,knn,20,50,1e-06,5.671599161019412,3.7608818215687627,16000000,13982160,1.9214876186494865,11.436487162726005
synthetic_2d_warp,train,tss,val,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.06490733139216898,0.82475875,0.242867625,0.757132375,0.82475875,0.242867625,0.05231022089719772,0.032403357326984406,0.07048721760511396,0.23917292058467865,0.13152608275413513,0.5563751935958858,knn,20,50,1e-06,1.6526268048047723,1.5001712889460106,16000000,800000,1.3768250824849562,1.324660860240638
synthetic_2d_warp,train,middlebury,val,flow,global_radius,train_zscore,1,first,5,0.95,0.05217523127794266,0.046059377864003194,0.92634375,0.0106210625,0.9893789374999999,0.92634375,0.0106210625,0.03500683605670929,0.030260656028985977,0.0482442643493414,1.0180363655090332,0.8198103904724121,2.073889112472534,knn,20,50,1e-06,4.628708415602607,4.14660125274592,16000000,96000,3.8973530786977126,16.15872200913864
synthetic_small_zoom,train,flyingthings,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.08615618385374542,0.42041397311212814,0.9371366875,0.06286331249999999,0.42041397311212814,0.9371366875,0.39630019664764404,0.052944447845220566,0.5387506961822508,0.045295290648937225,0.03847043216228485,0.07635282948613166,knn,20,50,1e-06,2.190193138452462,1.6738712841734003,16000000,13984000,1.09850402176145,0.38328694918592987
synthetic_small_zoom,train,kitti2015,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.05972527340054512,0.7233922527265889,0.1257849375,0.8742150625,0.7233922527265889,0.1257849375,0.06681044399738312,0.031049184501171112,0.15097038745880131,0.4773886501789093,0.2425280511379242,1.2275773406028747,knn,20,50,1e-06,3.954434393257041,3.560398467635222,16000000,398850,1.5837083547804682,1.5874316666152923
synthetic_small_zoom,train,kitti2012,val,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.06730147935450077,0.8552474226804123,0.1866018125,0.8133981875,0.8552474226804123,0.1866018125,0.038141872733831406,0.02899293042719364,0.05275164134800436,0.525664746761322,0.29306352138519287,1.2932379484176635,knn,20,50,1e-06,2.2676672698493885,3.847616900901357,16000000,388000,1.8460571477153436,2.881659133988567
synthetic_small_zoom,train,spair,test,flow,global_radius,train_zscore,1,first,5,0.95,0.04247361049056053,0.6492603093385693,0.01324935605659645,0.9565505,0.04344950000000003,0.01324935605659645,0.9565505,1.715632677078247,0.8905311822891235,4.3435142040252686,0.3509068787097931,0.32581350207328796,0.5454737782478332,knn,20,50,1e-06,7.5574837561453165,4.730227761293136,16000000,56682,1.7857964619336366,1.0549463454584167
