ctx_rho_g,ctx_rho_g_lo,ctx_rho_g_hi,cent_rho_g,cent_rho_g_lo,cent_rho_g_hi,ctx_rho_L,ctx_rho_L_lo,ctx_rho_L_hi,ctx_rho_Lg,ctx_rho_Lg_lo,ctx_rho_Lg_hi,abs_r_Lg,abs_r_Lg_lo,abs_r_Lg_hi,target,split,family,label,head,n_rows
0.3575757575757576,0.26446338383838375,0.45213131313131305,0.3248391245311603,0.22719138539677203,0.4361379217512086,0.6342312008978676,0.5284494949494949,0.7414204545454547,0.6214365881032548,0.5413686868686869,0.7032525252525254,0.26494723048226193,0.1513480668309156,0.4581375648547561,peak_pck,LOBO,motion,uniform_level,g,891
0.3653198653198653,0.276540404040404,0.45521969696969694,0.30634465316953624,0.2064572622586838,0.4120803072581646,0.6342312008978676,0.5438383838383839,0.7102693602693605,0.6361391694725028,0.5451414141414141,0.732680375180375,0.2538736597712132,0.1649921949206523,0.4530234019406023,peak_pck,LOBO,motion,uniform_level,g_zridge,891
,,,,,,0.6342312008978676,0.5269646464646465,0.7169336219336223,0.6342312008978676,0.5269646464646465,0.7169336219336223,0.22077052762215568,0.10938805923732874,0.44336060179020087,peak_pck,LOBO,motion,uniform_level,g_rank,891
,,,,,,0.6342312008978676,0.527070707070707,0.7133670033670035,0.6342312008978676,0.527070707070707,0.7133670033670035,0.22077052762215568,0.09518817517778401,0.4997719909439218,peak_pck,LOBO,motion,uniform_level,g_gbm,891
0.19079685746352415,0.09718055555555556,0.287010101010101,0.1890740616665679,0.04435460717822718,0.29974060383613466,0.6545454545454547,0.5327272727272726,0.7872853535353537,0.5135802469135803,0.3850340909090909,0.6208754208754209,0.6498904690552066,0.13120546203954558,0.9093070918523471,peak_pck,LOBO,appearance,main,g,891
0.25566778900112236,0.16969696969696973,0.33318686868686875,0.19845069524946882,0.04163681651427533,0.3482978412233667,0.6545454545454547,0.5372053872053871,0.7748383838383839,0.5421997755331088,0.41548821548821535,0.663020202020202,0.6488240535400235,0.20569592744037077,0.8869852298030751,peak_pck,LOBO,appearance,main,g_zridge,891
,,,,,,0.6545454545454547,0.5194444444444444,0.7642676767676768,0.6545454545454547,0.5194444444444444,0.7642676767676768,0.6801714101042782,0.23998623467396488,0.9338391045603415,peak_pck,LOBO,appearance,main,g_rank,891
,,,,,,0.6545454545454547,0.5444141414141415,0.7731666666666667,0.6545454545454547,0.5444141414141415,0.7731666666666667,0.6801714101042782,0.1491733871105164,0.926308193050269,peak_pck,LOBO,appearance,main,g_gbm,891
-0.014365881032547701,-0.053141414141414135,0.027790404040404032,-0.029523766370058522,-0.09814758961082,0.057889886329122,0.053086419753086415,-0.00041077441077441566,0.10770791245791243,0.045903479236812574,-0.011628787878787874,0.10151515151515149,0.563921278876391,0.058846248133880376,0.8032149472180785,peak_pck,LOBO,appearance,shuffle,g,891
-0.0537598204264871,-0.0980976430976431,-0.003797979797979796,-0.04114377683039252,-0.12449329187944708,0.032580728567096616,0.053086419753086415,0.0015858585858585944,0.09402525252525255,0.05106621773288442,0.005025252525252521,0.09002946127946132,0.563968569447341,0.09397157430881604,0.7810201792735967,peak_pck,LOBO,appearance,shuffle,g_zridge,891
,,,,,,0.053086419753086415,0.004383838383838381,0.10032323232323234,0.053086419753086415,0.004383838383838381,0.10032323232323234,0.5637249602142428,0.11139772421045566,0.8077623889190929,peak_pck,LOBO,appearance,shuffle,g_rank,891
,,,,,,0.053086419753086415,-0.0008989898989898963,0.10051515151515154,0.053086419753086415,-0.0008989898989898963,0.10051515151515154,0.5637249602142428,0.14392652884669946,0.8188094912804542,peak_pck,LOBO,appearance,shuffle,g_gbm,891
0.19079685746352415,0.10524242424242422,0.2859444444444445,0.1890740616665679,0.07539208513042187,0.3180459966998754,0.6342312008978676,0.5380265151515152,0.7169336219336223,0.5214365881032549,0.44737373737373737,0.6337651515151514,0.18774379813254055,0.08360555863323055,0.38464057666325785,peak_pck,LOBO,appearance,uniform_level,g,891
0.25566778900112236,0.18500000000000003,0.3503577441077441,0.19845069524946882,0.04039135395942954,0.33963672724258903,0.6342312008978676,0.5482525252525252,0.7159932659932663,0.5387205387205387,0.4646010101010101,0.6085757575757578,0.18286512700394478,0.051769959449814336,0.435709689010378,peak_pck,LOBO,appearance,uniform_level,g_zridge,891
,,,,,,0.6342312008978676,0.5284713804713804,0.7624242424242424,0.6342312008978676,0.5284713804713804,0.7624242424242424,0.22077052762215568,0.08513865047994992,0.5003359114180377,peak_pck,LOBO,appearance,uniform_level,g_rank,891
,,,,,,0.6342312008978676,0.5466818181818182,0.7170934343434349,0.6342312008978676,0.5466818181818182,0.7170934343434349,0.22077052762215568,0.11158168607838966,0.4746047047694801,peak_pck,LOBO,appearance,uniform_level,g_gbm,891
