dir,split,target,family_m,family_a,gap_g,gap_g_lo,gap_g_hi,p_gap_gt_0
results_eb_shrunk,LOTO,auc_normalized,motion,random,0.2403410488257488,-0.12460216409446268,0.5483797921591116,0.9
results_eb_shrunk,LOBO,auc_normalized,motion,appearance,0.1445624130190797,0.046527777777777835,0.24424242424242415,1.0
results_eb_shrunk,LOBO,auc_normalized,motion_sym,appearance_sym,0.3362291726791726,0.239979797979798,0.4437297979797979,1.0
results_eb_shrunk,LOBO,auc_normalized,motion,random,0.3046308377425044,0.15830454545454542,0.4307359307359307,1.0
results_eb_shrunk,JOINT,auc_normalized,motion,appearance,0.37588707698476936,0.13844394037612717,0.6275760659654468,1.0
results_eb_shrunk,JOINT,auc_normalized,motion_sym,appearance_sym,0.44787408855068106,0.20229237283797216,0.6642807537348044,1.0
results_eb_shrunk,JOINT,auc_normalized,motion,random,0.11986865770949653,-0.06156772196515288,0.29564647730294286,0.9066666666666666
results_density_idw,LOTO,auc_normalized,motion,appearance,0.643065422263976,0.2429168287630904,0.9869689628568279,1.0
results_density_idw,LOTO,auc_normalized,motion_sym,appearance_sym,0.36882076363278615,-0.05273847425498147,0.6995513791763792,0.9533333333333334
results_density_idw,LOTO,auc_normalized,motion,random,0.2284738462139176,-0.15216364271406688,0.5393852950855634,0.89
results_density_idw,LOBO,auc_normalized,motion,appearance,0.14456711560044894,0.03597878787878789,0.23949494949494957,1.0
results_density_idw,LOBO,auc_normalized,motion_sym,appearance_sym,0.3420684207150874,0.2502835497835498,0.44783160173160164,1.0
results_density_idw,LOBO,auc_normalized,motion,random,0.3079108313291647,0.16999848484848487,0.4517979797979797,1.0
results_density_idw,JOINT,auc_normalized,motion,appearance,0.3658282334548258,0.10551696360281043,0.5876337296484478,0.9966666666666667
results_density_idw,JOINT,auc_normalized,motion_sym,appearance_sym,0.45126792286637907,0.20191652158771317,0.6622579422437637,1.0
results_density_idw,JOINT,auc_normalized,motion,random,0.12475580774161588,-0.05583409633384602,0.31499335546731716,0.8933333333333333
