arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
glunet,FF,pointodyssey,pfpascal,18.1731,0.0087307197973132,0.0033152212854474,0.0060229705413803
glunet,TT,pointodyssey,pfpascal,42.0709,0.0087307197973132,0.0033152212854474,0.0060229705413803
raft,FF,pointodyssey,pfpascal,15.79625,0.0087307197973132,0.0033152212854474,0.0060229705413803
catspp,FF,pointodyssey,pfwillow,15.5,0.0115600395947694,0.0048847789876163,0.0082224092911928
catspp,TT,pointodyssey,pfwillow,47.911100000000005,0.0115600395947694,0.0048847789876163,0.0082224092911928
glunet,FF,pointodyssey,pfwillow,19.8741,0.0115600395947694,0.0048847789876163,0.0082224092911928
glunet,TT,pointodyssey,pfwillow,44.3778,0.0115600395947694,0.0048847789876163,0.0082224092911928
raft,FF,pointodyssey,pfwillow,18.25555,0.0115600395947694,0.0048847789876163,0.0082224092911928
catspp,FF,pointodyssey,pointodyssey,68.8301,0.0001047161713358,0.0001036821849993,0.0001041991781676
catspp,TT,pointodyssey,pointodyssey,71.0583,0.0001047161713358,0.0001036821849993,0.0001041991781676
glunet,FF,pointodyssey,pointodyssey,94.4359,0.0001047161713358,0.0001036821849993,0.0001041991781676
glunet,TT,pointodyssey,pointodyssey,96.2978,0.0001047161713358,0.0001036821849993,0.0001041991781676
raft,FF,pointodyssey,pointodyssey,58.56285,0.0001047161713358,0.0001036821849993,0.0001041991781676
catspp,FF,pointodyssey,spair,3.1626,0.0042613144032657,0.0660532042384147,0.0351572593208402
catspp,TT,pointodyssey,spair,22.5766,0.0042613144032657,0.0660532042384147,0.0351572593208402
glunet,FF,pointodyssey,spair,3.2579,0.0042613144032657,0.0660532042384147,0.0351572593208402
glunet,TT,pointodyssey,spair,8.153,0.0042613144032657,0.0660532042384147,0.0351572593208402
raft,FF,pointodyssey,spair,2.80045,0.0042613144032657,0.0660532042384147,0.0351572593208402
catspp,FF,pointodyssey,synthetic,17.907249999999998,0.0004937921767123,0.1111891418695449,0.0558414670231286
catspp,TT,pointodyssey,synthetic,39.8872,0.0004937921767123,0.1111891418695449,0.0558414670231286
glunet,FF,pointodyssey,synthetic,14.6555,0.0004937921767123,0.1111891418695449,0.0558414670231286
glunet,TT,pointodyssey,synthetic,25.2246,0.0004937921767123,0.1111891418695449,0.0558414670231286
raft,FF,pointodyssey,synthetic,11.985,0.0004937921767123,0.1111891418695449,0.0558414670231286
catspp,FF,pointodyssey,tss,27.7243,0.0015841776039451,0.0165410451591014,0.0090626113815233
catspp,TT,pointodyssey,tss,62.9798,0.0015841776039451,0.0165410451591014,0.0090626113815233
glunet,FF,pointodyssey,tss,41.4764,0.0015841776039451,0.0165410451591014,0.0090626113815233
glunet,TT,pointodyssey,tss,62.9502,0.0015841776039451,0.0165410451591014,0.0090626113815233
raft,FF,pointodyssey,tss,27.3016,0.0015841776039451,0.0165410451591014,0.0090626113815233
catspp,FF,sintel,flyingthings,70.7445,7.301328878384084e-05,0.0044280756264925,0.0022505444576381
catspp,TT,sintel,flyingthings,82.249,7.301328878384084e-05,0.0044280756264925,0.0022505444576381
glunet,FF,sintel,flyingthings,64.4604,7.301328878384084e-05,0.0044280756264925,0.0022505444576381
glunet,TT,sintel,flyingthings,69.7732,7.301328878384084e-05,0.0044280756264925,0.0022505444576381
raft,FF,sintel,flyingthings,63.2297,7.301328878384084e-05,0.0044280756264925,0.0022505444576381
catspp,FF,sintel,kitti2012,91.745,0.037665706127882,0.0002321781939826,0.0189489421609323
catspp,TT,sintel,kitti2012,98.1215,0.037665706127882,0.0002321781939826,0.0189489421609323
glunet,FF,sintel,kitti2012,96.5983,0.037665706127882,0.0002321781939826,0.0189489421609323
glunet,TT,sintel,kitti2012,98.9758,0.037665706127882,0.0002321781939826,0.0189489421609323
